frame_idx,cam_stamp,in_32_tok,in_64_tok,scene_a,scene_b,scene_match,duration_a,duration_b,cot_a,cot_b
200,1545236149.954000,True,True,intersection,parking,False,2.286,4.239,Turn right since the cross-traffic vehicle has cleared the area,"Stop later within the parking space due to a car crossing behind in the parking lot after making a brief right turn, ens"
201,1545236150.952000,True,True,unknown,other,False,4.068,2.966,,Nudge to the left to clear the stop sign signage blocking the right side of our lane
202,1545236151.952000,True,True,intersection,intersection,True,2.051,2.205,Turn right at the intersection since cross traffic has cleared,Turn right at the intersection since cross-traffic has cleared
203,1545236152.951000,True,True,intersection,other,False,1.839,2.532,Turn right due to the T intersection ahead,Keep at the center of the lane since no critical agent needs special attention
204,1545236153.950000,True,True,other,other,True,2.478,2.302,Nudge to the right due to debris blocking the center of our lane,Nudge right due to the stopped car blocking the lane ahead
205,1545236154.949000,True,True,other,other,True,2.159,2.426,Stop for the red traffic light ahead since it is red,Adapt speed for the right curve since the road bends right ahead
206,1545236155.948000,True,True,other,other,True,2.592,2.850,Keep lane since no critical agent is ahead since no vehicle obstructs our path,Yield to the cut-in vehicle from the right since it merges into our lane ahead
207,1545236156.947000,True,True,other,intersection,False,2.194,2.201,Slow down for road curvature since the driveway bends right ahead,Turn right to proceed since parked vehicles block the movement ahead
208,1545236157.946000,True,True,intersection,other,False,2.678,2.851,Yield to the cross-traffic since a vehicle is crossing at the intersection ahead,Yield to the cut-in vehicle from the right since it merges into our lane ahead
209,1545236158.945000,True,True,intersection,intersection,True,2.372,4.130,Stop for the roundabout since the vehicle must yield to circulating traffic,"Brake to a stop before proceeding into the roundabout because an SUV with headlights is circulating from our right, requ"
210,1545236159.944000,True,True,other,other,True,2.381,2.425,Adapt speed for the right curve since the lane bends right ahead,Adapt speed for the right curve since the lane bends right ahead
211,1545236160.944000,True,True,other,intersection,False,2.500,2.203,Stop to yield to the truck crossing ahead since it is entering our lane,Turn right at the intersection since the crossing truck has passed
212,1545236161.943000,True,True,other,urban,False,2.383,6.084,Adapt speed for the left curve since the lane bends left ahead,"Begin gently steering right to take the right turn because the crossing van has cleared our path, leaving a safe gap to "
213,1545236162.941000,True,False,other,,False,1.966,,Stop since no critical agent needs special attention.,
214,1545236163.941000,True,True,other,intersection,False,3.232,2.210,Nudge to the right in the same lane since a parked van is blocking the center of the lane ahead,Turn right into a parking spot since the path is clear
215,1545236164.940000,True,True,other,intersection,False,2.428,3.066,Keep at the center of the lane since no critical agent needs attention,Turn right into the parking lot since the route bends right into a narrow entrance bordered by parked cars
216,1545236165.939000,True,True,other,other,True,1.749,2.313,Adjust speed for the left curve ahead,Decelerate to the stop line for the stop sign ahead
217,1545236166.938000,True,True,other,intersection,False,2.489,3.274,Keep distance to the lead vehicle since it is directly ahead in our lane,Keep distance to the lead vehicle since it is directly ahead in our lane after we turn right into the driveway
218,1545236167.937000,True,True,intersection,other,False,2.395,2.439,Slow down for the roundabout since a stop sign controls this entry,Adapt speed for the right curve since the lane bends right ahead
219,1545236168.939000,True,True,other,other,True,2.961,1.663,Split to the right to take the right-turn lane since a stop sign controls the turn ahead,Stop for the stop sign ahead
220,1545236169.935000,True,True,other,other,True,2.541,1.770,Keep distance to the lead vehicle since it is directly ahead in our lane,Slow down for the speed bump ahead
221,1545236170.934000,True,True,other,intersection,False,1.875,1.880,Stop for the stop sign controlling our lane,Stop for the stop sign controlling the intersection
222,1545236171.933000,True,True,other,other,True,2.910,2.956,Keep distance to the lead vehicle since it is directly ahead in our lane after the left turn,Yield to the cut-in vehicle from the right since it is turning into our lane ahead
223,1545236172.933000,True,True,unknown,other,False,4.120,5.643,,Change lane to the left due to parked/slow vehicles blocking the right edge of our enterway after the turn; accelerate o
224,1545236173.932000,True,False,unknown,,False,4.083,,,
225,1545236174.930000,True,True,other,intersection,False,1.960,1.882,Nudge right due to oncoming vehicle ahead,Turn right because the cross traffic has cleared
226,1545236175.930000,True,True,other,other,True,3.865,1.666,"Brake to a stop because our forward path is blocked by stationary vehicles ahead in our lane, leaving no safe space to c",Stop for the stop sign ahead
227,1545236176.929000,True,True,other,intersection,False,1.955,4.890,Stop due to a car crossing our path ahead,Brake to a stop because the vehicle has reached an intersection and must yield to cross traffic; several cars are visibl
228,1545236177.928000,True,True,other,highway,False,2.380,4.776,Adapt speed for the right curve since the road bends right ahead,"Lane change to the left due to merging onto the main road after waiting for cross-traffic, then positioning away from th"
229,1545236178.927000,True,True,unknown,other,False,4.109,2.825,,Adapt speed to maintain a safe distance from the lead vehicle since it is slowing ahead
230,1545236179.926000,True,True,other,other,True,2.174,2.481,Keep distance to the lead vehicle since it is stopped ahead,Keep distance to the lead vehicle since it is directly ahead in our lane
231,1545236180.925000,True,True,unknown,other,False,4.085,2.152,,Keep distance to the lead vehicle since it is stopped ahead
232,1545236181.924000,True,True,other,other,True,2.474,2.409,Keep distance to the lead vehicle since it is directly ahead in our lane,Stop to keep distance to the lead vehicle since it is stopped ahead
233,1545236182.923000,True,True,other,other,True,2.259,2.186,Keep distance to the lead vehicle since it is slowing ahead.,Keep distance to the lead vehicle since it is stopped ahead
234,1545236183.922000,True,True,other,other,True,2.378,2.200,Stop to keep distance to the lead vehicle since it is stopped ahead,Keep distance to the lead vehicle since it is stopped ahead
235,1545236184.921000,True,True,other,other,True,2.382,2.836,Stop to keep distance to the lead vehicle since it is stationary ahead,Decelerate to maintain a safe distance to the lead vehicle since it is stopped ahead
236,1545236185.921000,True,True,other,other,True,2.378,2.528,Stop to keep distance to the lead vehicle since it is stopped ahead,Maintain a safe distance from the lead vehicle since it is stopped ahead
237,1545236186.919000,True,True,other,other,True,2.377,2.406,Stop to keep distance to the lead vehicle since it is stationary ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
238,1545236187.919000,True,True,other,other,True,2.269,2.403,Keep distance to the lead vehicle since it is moving slowly ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
239,1545236188.918000,True,True,unknown,other,False,4.079,2.158,,Keep distance to the lead vehicle since it is stopped ahead
240,1545236189.917000,True,True,other,other,True,2.399,2.156,Stop to keep distance to the lead vehicle since it is stationary ahead,Keep distance to the lead vehicle since it is stopped ahead
241,1545236190.916000,True,True,other,unknown,False,2.160,3.123,Keep distance to the lead vehicle since it is stopped ahead,
242,1545236191.915000,True,True,other,other,True,1.945,2.061,Stop to keep distance to the stopped lead vehicle,1ain stop due to the stationary lead vehicle ahead
243,1545236192.914000,True,True,other,other,True,2.161,1.847,Keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the lead vehicle
244,1545236193.913000,True,True,other,other,True,2.172,2.167,Keep distance to the lead vehicle since it is stopped ahead,Keep distance to the lead vehicle since it is stopped ahead
245,1545236194.912000,True,True,other,other,True,2.427,2.397,Stop to keep distance to the lead vehicle since it is stationary ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
246,1545236195.911000,True,True,other,other,True,1.984,2.706,Stop due to lead vehicle blocking the lane ahead,types of vehicles are in front since a truck is leading one slightly to the left
247,1545236196.910000,True,True,other,other,True,2.425,2.071,Stop to keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the stopped lead vehicle ahead
248,1545236197.910000,True,True,other,other,True,3.625,2.050,Wait for a gap because a car is coming from rear right in the right lane blocking an immediate merge to the right lane,Stop to keep distance to the stopped lead vehicle ahead
249,1545236198.908000,True,True,other,other,True,1.944,1.844,Stop to keep distance to the stopped lead vehicle,Stop to keep distance to the lead vehicle
250,1545236199.908000,True,True,other,other,True,2.061,2.365,Stop to keep distance to the stopped lead vehicle ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
251,1545236200.907000,True,True,other,other,True,2.377,2.158,Stop to keep distance to the lead vehicle since it is stationary ahead,Keep distance to the lead vehicle since it is stopped ahead
252,1545236201.905000,True,True,other,other,True,2.371,1.833,Stop to keep distance to the lead vehicle since it is stationary ahead,Stop to keep distance to the lead vehicle
253,1545236202.905000,True,True,other,other,True,2.377,2.372,Stop to keep distance to the lead vehicle since it is stationary ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
254,1545236203.904000,True,True,other,other,True,2.156,2.391,Keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the lead vehicle since it is stopped ahead
255,1545236204.903000,True,True,other,other,True,2.176,1.955,Keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the stationary lead vehicle
256,1545236205.902000,True,True,other,other,True,2.164,2.378,Keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the lead vehicle since it is stopped.
257,1545236206.901000,True,True,other,other,True,2.423,2.394,Stop to keep distance to the lead vehicle since it is stationary ahead,Stop to keep distance to the lead vehicle since it is stationary ahead
258,1545236207.900000,True,True,other,other,True,2.153,2.380,Keep distance to the lead vehicle since it is stopped ahead,Stop to keep distance to the lead vehicle since it is stopped ahead
259,1545236208.899000,True,True,other,other,True,2.055,2.085,Stop to keep distance to the stationary lead vehicle ahead,Stop to keep distance to the stopped lead vehicle ahead
260,1545236209.899000,True,True,other,other,True,1.843,2.387,Stop to keep distance to the lead vehicle,Stop to keep distance to the lead vehicle since it is stationary ahead
261,1545236210.897000,False,True,,other,False,,2.373,,Stop to keep distance to the lead vehicle since it is stationary ahead
262,1545236210.998000,True,False,other,,False,2.162,,Keep distance to the lead vehicle since it is stopped ahead,
